filename,number_of_nodes,number_of_edges,number_of_connected_components,number_of_endpoints,number_of_branch_points,number_of_isolated_nodes,average_node_degree,maximum_node_degree,minimum_node_degree,average_edge_length,maximum_edge_length,minimum_edge_length,total_vessel_length,graph_density,average_clustering_coefficient,graph_transitivity,diameter,average_shortest_path_length,largest_connected_component_size,number_of_small_connected_components,endpoint_to_branch_ratio,branch_point_density,average_vessel_segment_length,number_of_vessel_segments,processing_status,error
10451.graphml,106.0,107.0,19.0,55.0,51.0,0.0,2.018867924528302,4.0,1.0,22.545635917825194,230.06601717798253,1.0,2412.383043207296,0.01922731356693621,0.16981132075471697,0.3508771929824561,9.0,4.285714285714286,22.0,13.0,1.0784313725490196,0.4811320754716981,22.545635917825194,107.0,ok,
10452.graphml,94.0,95.0,18.0,49.0,45.0,0.0,2.021276595744681,4.0,1.0,22.834477847041796,164.05382386916244,1.0,2169.2753954689706,0.021734156943491192,0.18085106382978725,0.37254901960784315,11.0,4.760869565217392,24.0,14.0,1.0888888888888888,0.4787234042553192,22.834477847041796,95.0,ok,
10453.graphml,93.0,98.0,17.0,48.0,45.0,0.0,2.10752688172043,6.0,1.0,24.924627454955054,220.61017305526667,1.0,2442.613490585595,0.022907900888265546,0.1881720430107527,0.3898305084745763,10.0,4.137254901960785,18.0,11.0,1.0666666666666667,0.4838709677419355,24.924627454955054,98.0,ok,
10454.graphml,138.0,165.0,15.0,51.0,87.0,0.0,2.391304347826087,5.0,1.0,13.953658217913775,164.65180361560908,1.0,2302.3536059557728,0.017454776261504285,0.23719806763285026,0.3785488958990536,12.0,4.970443349753695,29.0,7.0,0.5862068965517241,0.6304347826086957,13.953658217913775,165.0,ok,
10455.graphml,84.0,77.0,20.0,51.0,33.0,0.0,1.8333333333333333,4.0,1.0,30.691505950875946,148.61017305526642,1.0,2363.245958217448,0.02208835341365462,0.14285714285714285,0.3482142857142857,13.0,5.203333333333333,25.0,16.0,1.5454545454545454,0.39285714285714285,30.691505950875946,77.0,ok,
10456.graphml,133.0,157.0,16.0,53.0,80.0,0.0,2.3609022556390977,5.0,1.0,18.096151677496835,140.71067811865473,1.0,2841.095813367003,0.017885623148781043,0.23182957393483708,0.39087947882736157,29.0,11.108249496981891,71.0,12.0,0.6625,0.6015037593984962,18.096151677496835,157.0,ok,
10457.graphml,79.0,79.0,16.0,42.0,37.0,0.0,2.0,4.0,1.0,24.885218350866623,173.521861300698,1.0,1965.9322497184633,0.02564102564102564,0.18565400843881855,0.3779527559055118,8.0,3.5166666666666666,16.0,11.0,1.135135135135135,0.46835443037974683,24.885218350866623,79.0,ok,
10458.graphml,87.0,76.0,24.0,57.0,30.0,0.0,1.7471264367816093,4.0,1.0,27.387554092357373,181.43860018001266,1.0,2081.4541110191603,0.020315423683507083,0.13026819923371646,0.37142857142857144,7.0,3.1538461538461537,13.0,17.0,1.9,0.3448275862068966,27.387554092357373,76.0,ok,
10459.graphml,103.0,107.0,17.0,51.0,52.0,0.0,2.0776699029126213,4.0,1.0,22.262994416076413,150.3675323681472,1.0,2382.1404025201764,0.02036931277365315,0.18122977346278316,0.3559322033898305,10.0,4.38421052631579,20.0,9.0,0.9807692307692307,0.5048543689320388,22.262994416076413,107.0,ok,
10460.graphml,168.0,207.0,14.0,55.0,113.0,0.0,2.4642857142857144,4.0,1.0,15.298984312107937,150.36753236814712,1.0,3166.889752606343,0.014756201881950384,0.2569444444444444,0.37593984962406013,17.0,6.445234708392603,38.0,8.0,0.48672566371681414,0.6726190476190477,15.298984312107937,207.0,ok,
10461.graphml,154.0,177.0,16.0,62.0,92.0,0.0,2.2987012987012987,4.0,1.0,16.75041658434102,114.15432893255063,1.0,2964.8237354283606,0.01502419149477973,0.21753246753246752,0.3611111111111111,23.0,9.327283726557773,58.0,8.0,0.6739130434782609,0.5974025974025974,16.75041658434102,177.0,ok,
10462.graphml,104.0,102.0,21.0,58.0,46.0,0.0,1.9615384615384615,4.0,1.0,25.154128807097248,173.19595949289356,1.0,2565.721138323919,0.019044062733383122,0.15705128205128205,0.35185185185185186,8.0,3.5238095238095237,15.0,13.0,1.2608695652173914,0.4423076923076923,25.154128807097248,102.0,ok,
10463.graphml,94.0,93.0,19.0,51.0,43.0,0.0,1.9787234042553192,4.0,1.0,23.566948268363475,132.36753236814707,1.0,2191.726188957803,0.02127659574468085,0.1702127659574468,0.3673469387755102,12.0,5.864527629233511,34.0,15.0,1.186046511627907,0.4574468085106383,23.566948268363475,93.0,ok,
10464.graphml,108.0,111.0,20.0,55.0,53.0,0.0,2.0555555555555554,4.0,1.0,20.328835965886363,153.58073580374355,1.0,2256.5007922133864,0.01921079958463136,0.18827160493827158,0.3770491803278688,9.0,3.683333333333333,16.0,9.0,1.0377358490566038,0.49074074074074076,20.328835965886363,111.0,ok,
10465.graphml,144.0,172.0,15.0,54.0,90.0,0.0,2.388888888888889,5.0,1.0,16.07403099786477,193.78174593052051,1.0,2764.7333316327404,0.016705516705516704,0.2300925925925926,0.3761194029850746,11.0,5.452651515151516,33.0,6.0,0.6,0.625,16.07403099786477,172.0,ok,
10466.graphml,139.0,161.0,16.0,54.0,85.0,0.0,2.316546762589928,4.0,1.0,17.62296163660733,169.68124086713215,1.0,2837.29682349378,0.016786570743405275,0.22781774580335729,0.3673469387755102,16.0,6.025287356321839,30.0,9.0,0.6352941176470588,0.6115107913669064,17.62296163660733,161.0,ok,
10467.graphml,127.0,156.0,12.0,47.0,80.0,0.0,2.456692913385827,4.0,1.0,15.4662716811963,173.3380951166244,1.0,2412.738382266623,0.01949756280464942,0.24540682414698162,0.3904761904761905,13.0,5.447311827956989,31.0,6.0,0.5875,0.6299212598425197,15.4662716811963,156.0,ok,
10468.graphml,117.0,124.0,18.0,56.0,61.0,0.0,2.1196581196581197,4.0,1.0,19.866090617065442,177.78174593052026,1.0,2463.395236516115,0.018272914824638962,0.1794871794871795,0.34285714285714286,15.0,5.929435483870968,32.0,13.0,0.9180327868852459,0.5213675213675214,19.866090617065442,124.0,ok,
10469.graphml,87.0,92.0,16.0,44.0,43.0,0.0,2.1149425287356323,4.0,1.0,24.65220997315573,162.29646455628165,1.0,2268.0033175303274,0.02459235498529805,0.19348659003831417,0.3888888888888889,8.0,3.2583333333333333,16.0,9.0,1.0232558139534884,0.4942528735632184,24.65220997315573,92.0,ok,
10470.graphml,126.0,149.0,13.0,47.0,79.0,0.0,2.365079365079365,4.0,1.0,17.65747502691972,126.12489168102773,1.0,2630.9637790110382,0.01892063492063492,0.24074074074074073,0.3763440860215054,26.0,9.714912280701755,57.0,5.0,0.5949367088607594,0.626984126984127,17.65747502691972,149.0,ok,
10471.graphml,88.0,99.0,11.0,37.0,51.0,0.0,2.25,4.0,1.0,22.038950820936506,203.0954544295053,1.0,2181.8561312727143,0.02586206896551724,0.2196969696969697,0.3728813559322034,9.0,3.698529411764706,17.0,3.0,0.7254901960784313,0.5795454545454546,22.038950820936506,99.0,ok,
10472.graphml,134.0,154.0,15.0,53.0,81.0,0.0,2.298507462686567,4.0,1.0,15.268595501451557,125.76955262170043,1.0,2351.3637072235397,0.01728201099764336,0.2263681592039801,0.36428571428571427,25.0,9.097285067873303,52.0,7.0,0.654320987654321,0.6044776119402985,15.268595501451557,154.0,ok,
10473.graphml,133.0,151.0,15.0,54.0,79.0,0.0,2.2706766917293235,4.0,1.0,17.090949216110857,172.55129855222083,1.0,2580.7333316327395,0.01720209614946457,0.21303258145363407,0.35555555555555557,10.0,4.594202898550725,24.0,5.0,0.6835443037974683,0.5939849624060151,17.090949216110857,151.0,ok,
10474.graphml,66.0,60.0,18.0,43.0,23.0,0.0,1.8181818181818181,4.0,1.0,34.30063009026224,151.91168824543146,1.0,2058.0378054157345,0.027972027972027972,0.13636363636363635,0.3870967741935484,4.0,2.0,9.0,12.0,1.8695652173913044,0.3484848484848485,34.30063009026224,60.0,ok,
10475.graphml,148.0,192.0,9.0,44.0,104.0,0.0,2.5945945945945947,5.0,1.0,15.127222738586932,164.9238815542513,1.0,2904.426765808691,0.01765030336458908,0.25878378378378375,0.3702770780856423,17.0,7.2283298097251585,44.0,2.0,0.4230769230769231,0.7027027027027027,15.127222738586932,192.0,ok,
